,be,bg,ca,cs,en,es,pl,ru,sl,tr,uk,gender
3013,Аляксандр I Карагеоргіевіч,Александър I Караджорджевич,Alexandre I de Iugoslàvia,Alexandr I. Karađorđević,Alexander I of Yugoslavia,Alejandro I de Yugoslavia,Aleksander I Karadziordziewić,Александр I Карагеоргиевич,Aleksander I. Karadžordžević,I. Aleksandar,I Олександр,m
3014,Ірвінг Берлін,Ървинг Бърлин,Irving Berlin,Irving Berlin,Irving Berlin,Irving Berlin,Irving Berlin,Ирвинг Берлин,Irving Berlin,Irving Berlin,Ірвінг Берлін,m
3015,Мікалай Бухарын,Николай Бухарин,Nikolai Bukharin,Nikolaj Bucharin,Nikolai Bukharin,Nikolái Bujarin,Nikołaj Bucharin,Николай Бухарин,Nikolaj Ivanovič Buharin,Nikolay Buharin,Микола Бухарін,m
3016,Зельман Ваксман,Селман Ваксман,Selman Abraham Waksman,Selman Abraham Waksman,Selman Waksman,Selman Abraham Waksman,Selman Waksman,Зельман Абрахам Ваксман,Selman Waksman,Selman Abraham Waksman,Зельман Ваксман,m
3017,Гайнц Вільгельм Гудэрыян,Хайнц Гудериан,Heinz Guderian,Heinz Guderian,Heinz Guderian,Heinz Guderian,Heinz Guderian,Хайнц Вильгельм Гудериан,Heinz Guderian,Heinz Guderian,Гайнц Вільгельм Гудеріан,m
3018,Хасэ Рауль Капабланка,Хосе Раул Капабланка,José Raúl Capablanca Graupera,José Raúl Capablanca,José Raúl Capablanca,José Raúl Capablanca,José Raúl Capablanca,Хосе Рауль Капабланка,José Raúl Capablanca,José Raúl Capablanca,Хосе Рауль Капабланка,m
3019,Інге Леман,Инге Леман,Inge Lehmann,Inge Lehmannová,Inge Lehmann,Inge Lehmann,Inge Lehmann,Инге Леманн,Inge Lehmann,Inge Lehmann,Інге Леманн,f
3020,Томас Эдвард Лоўрэнс,Томас Лорънс,Thomas Edward Lawrence,Thomas Edward Lawrence,T. E. Lawrence,Thomas Edward Lawrence,Thomas Edward Lawrence,Томас Эдвард Лоуренс,Thomas Edward Lawrence,Thomas Edward Lawrence,Томас Едвард Лоуренс,m
3021,Нестар Махно,Нестор Махно,Nèstor Makhnò,Nestor Machno,Nestor Makhno,Néstor Majnó,Nestor Machno,Нестор Махно,Nestor Ivanovič Mahno,Nestor Mahno,Нестор Махно,m
3022,Фернанду Песоа,Фернанду Песоа,Fernando Pessoa,Fernando Pessoa,Fernando Pessoa,Fernando Pessoa,Fernando Pessoa,Фернандо Пессоа,Fernando Pessoa,Fernando Pessoa,Фернанду Пессоа,m
3023,Чандрасекхара Венката Раман,Венката Раман,Chandrasekhara Raman,Chandrasekhara Venkata Raman,C. V. Raman,Chandrasekhara Raman,Chandrasekhara Venkata Raman,Чандрасекхара Венката Раман,Čandrasekara Venkata Raman,C. V. Raman,Чандрасекара Венката Раман,m
3024,Фрыц Цэрніке,Фриц Цернике,Frits Zernike,Frits Zernike,Frits Zernike,Frits Zernike,Frits Zernike,Фриц Цернике,Frits Zernike,Frits Zernike,Фріц Церніке,m
3025,Ота Штэрн,Ото Щерн,Otto Stern,Otto Stern,Otto Stern,Otto Stern,Otto Stern,Отто Штерн,Otto Stern,Otto Stern,Отто Штерн,m
3026,Томас Стэрнз Эліят,Томас Стърнз Елиът,T. S. Eliot,Thomas Stearns Eliot,T. S. Eliot,T. S. Eliot,T.S. Eliot,Томас Стернз Элиот,Thomas Stearns Eliot,T. S. Eliot,Томас Стернз Еліот,m
3027,Ганс-Юрген фон Арнім,Ханс-Юрген фон Арним,Hans-Jürgen von Arnim,Hans-Jürgen von Arnim,Hans-Jürgen von Arnim,Hans- Jürgen von Arnim,Hans Jürgen von Arnim,Ганс-Юрген фон Арним,Hans-Jürgen von Arnim,Hans-Jürgen von Arnim,Ганс-Юрген фон Арнім,m
3028,Карл фон Асецкі,Карл фон Осиецки,Carl von Ossietzky,Carl von Ossietzky,Carl von Ossietzky,Carl von Ossietzky,Carl von Ossietzky,Карл фон Осецкий,Carl von Ossietzky,Carl von Ossietzky,Карл фон Осецький,m
3029,Ганна Ахматава,Анна Ахматова,Anna Akhmàtova,Anna Andrejevna Achmatovová,Anna Akhmatova,Anna Ajmátova,Anna Achmatowa,Анна Ахматова,Ana Andrejevna Ahmatova,Anna Ahmatova,Анна Ахматова,f
3030,Васіль Блюхер,Василий Блюхер,Vassili Bliúkher,Vasilij Konstantinovič Bljucher,Vasily Blyukher,Vasili Blücher,Wasilij Blücher,Василий Блюхер,Vasilij Konstantinovič Bljuher,Vasili Blyuher,Василь Блюхер,m
3031,Людвіг Вітгенштэйн,Лудвиг Витгенщайн,Ludwig Wittgenstein,Ludwig Wittgenstein,Ludwig Wittgenstein,Ludwig Wittgenstein,Ludwig Wittgenstein,Людвиг Витгенштейн,Ludwig Wittgenstein,Ludwig Wittgenstein,Людвіг Вітгенштайн,m
3032,Адольф Гітлер,Адолф Хитлер,Adolf Hitler,Adolf Hitler,Adolf Hitler,Adolf Hitler,Adolf Hitler,Адольф Гитлер,Adolf Hitler,Adolf Hitler,Адольф Гітлер,m
3033,Марыя Дамброўская,Мария Домбровска,Maria Dąbrowska,Maria Dąbrowska,Maria Dąbrowska,Maria Dąbrowska,Maria Dąbrowska,Мария Домбровская,Maria Dąbrowska,Maria Dąbrowska,Марія Домбровська,f
3034,Джавахарлал Нэру,Джавахарлал Неру,Jawaharlal Nehru,Džaváharlál Néhrú,Jawaharlal Nehru,Jawaharlal Nehru,Jawaharlal Nehru,Джавахарлал Неру,Džavaharlal Nehru,Cevahirlal Nehru,Джавахарлал Неру,m
3035,Жан Както,Жан Кокто,Jean Cocteau,Jean Cocteau,Jean Cocteau,Jean Cocteau,Jean Cocteau,Жан Кокто,Jean Cocteau,Jean Cocteau,Жан Кокто,m
3036,Габрыела Містраль,Габриела Мистрал,Gabriela Mistral,Gabriela Mistralová,Gabriela Mistral,Gabriela Mistral,Gabriela Mistral,Габриела Мистраль,Gabriela Mistral,Gabriela Mistral,Габріела Містраль,f
3037,Філіп Ноэль-Бэйкер,Филип Ноуъл-Бейкър,Philip Noel-Baker,Philip Noel-Baker,Philip Noel-Baker,Philip J. Noel-Baker,Philip Noel-Baker,Филип Ноэль-Бейкер,Philip Noel-Baker,Philip Noel-Baker,Філіп Ноель-Бейкер,m
3038,Антэ Павеліч,Анте Павелич,Ante Pavelić,Ante Pavelić,Ante Pavelić,Ante Pavelić,Ante Pavelić,Анте Павелич,Ante Pavelić,Ante Pavelić,Анте Павелич,m
3039,Канстанцін Ракасоўскі,Константин Рокосовски,Konstantín Rokossovski,Konstantin Konstantinovič Rokossovskij,Konstantin Rokossovsky,Konstantín Rokossovski,Konstanty Rokossowski,Константин Рокоссовский,Konstantin Konstantinovič Rokosovski,Konstantin Rokossovski,Костянтин Рокоссовський,m
3040,Антоніу ды Алівейра Салазар,Антониу ди Оливейра Салазар,António de Oliveira Salazar,António de Oliveira Salazar,António de Oliveira Salazar,António de Oliveira Salazar,António de Oliveira Salazar,Антониу ди Салазар,António de Oliveira Salazar,António de Oliveira Salazar,Антоніу де Олівейра Салазар,m
3041,Піцірым Сарокін,Питирим Сорокин,Pitirim Sorokin,Pitirim Sorokin,Pitirim Sorokin,Pitirim Sorokin,Pitirim Sorokin,Питирим Сорокин,Pitirim Sorokin,Pitirim Sorokin,Питирим Сорокін,m
3042,Ігар Сікорскі,Игор Сикорски,Ígor Sikorski,Igor Sikorskij,Igor Sikorsky,Ígor Sikorski,Igor Sikorski,Игорь Сикорский,Igor Ivanovič Sikorski,Igor Sikorsky,Ігор Сікорський,m
3043,Арнольд Джозеф Тойнбі,Арнълд Тойнби,Arnold Joseph Toynbee,Arnold Joseph Toynbee,Arnold J. Toynbee,Arnold J. Toynbee,Arnold Joseph Toynbee,Арнольд Джозеф Тойнби,Arnold Joseph Toynbee,Arnold Joseph Toynbee,Арнольд Джозеф Тойнбі,m
3044,Эдвін Паўэл Хабл,Едуин Хъбъл,Edwin Hubble,Edwin Hubble,Edwin Hubble,Edwin Hubble,Edwin Hubble,Эдвин Хаббл,Edwin Powell Hubble,Edwin Hubble,Едвін Габбл,m
3045,Марцін Хайдэгер,Мартин Хайдегер,Martin Heidegger,Martin Heidegger,Martin Heidegger,Martin Heidegger,Martin Heidegger,Мартин Хайдеггер,Martin Heidegger,Martin Heidegger,Мартін Гайдеггер,m
3046,Чарлі Чаплін,Чарли Чаплин,Charles Chaplin,Charlie Chaplin,Charlie Chaplin,Charles Chaplin,Charlie Chaplin,Чарльз Чаплин,Charlie Chaplin,Charlie Chaplin,Чарлі Чаплін,m
3047,Уільям Лорэнс Брэг,Уилям Лорънс Браг,William Lawrence Bragg,William Lawrence Bragg,Lawrence Bragg,William Lawrence Bragg,William Lawrence Bragg,Уильям Лоренс Брэгг,William Lawrence Bragg,Lawrence Bragg,Вільям Лоренс Брегг,m
3048,Шарль дэ Голь,Шарл дьо Гол,Charles de Gaulle,Charles de Gaulle,Charles de Gaulle,Charles de Gaulle,Charles de Gaulle,Шарль Де Голль,Charles de Gaulle,Charles de Gaulle,Шарль де Голль,m
3049,Эдуард Дзітль,Едуард Дитл,Eduard Dietl,Eduard Dietl,Eduard Dietl,Eduard Dietl,Eduard Dietl,Эдуард Дитль,Eduard Dietl,Eduard Dietl,Едуард Дітль,m
3050,Альфрэд Ёдль,Алфред Йодъл,Alfred Jodl,Alfred Jodl,Alfred Jodl,Alfred Jodl,Alfred Jodl,Альфред Йодль,Alfred Jodl,Alfred Jodl,Альфред Йодль,m
3051,Агата Крысці,Агата Кристи,Agatha Christie,Agatha Christie,Agatha Christie,Agatha Christie,Agatha Christie,Агата Кристи,Agatha Christie,Agatha Christie,Агата Крісті,f
3052,Курт Левін,Курт Левин,Kurt Lewin,Kurt Lewin,Kurt Lewin,Kurt Lewin,Kurt Lewin,Курт Левин,Kurt Lewin,Kurt Lewin,Курт Цадек Левін,m
3053,Фрыц Ланг,Фриц Ланг,Fritz Lang,Fritz Lang,Fritz Lang,Fritz Lang,Fritz Lang,Фриц Ланг,Fritz Lang,Fritz Lang,Фріц Ланг,m
3054,Говард Філіпс Лаўкрафт,Хауърд Лъвкрафт,H. P. Lovecraft,Howard Phillips Lovecraft,H. P. Lovecraft,H. P. Lovecraft,H.P. Lovecraft,Говард Филлипс Лавкрафт,Howard Phillips Lovecraft,Howard Phillips Lovecraft,Говард Лавкрафт,m
3055,Герман Джозеф Мёлер,Херман Джоузеф Малър,Hermann Joseph Muller,Hermann Joseph Muller,Hermann Joseph Muller,Hermann Joseph Muller,Hermann Joseph Muller,Герман Джозеф Мёллер,Hermann Joseph Muller,Hermann Joseph Muller,Герман Джозеф Мюллер,m
3056,Барыс Пастарнак,Борис Пастернак,Borís Pasternak,Boris Leonidovič Pasternak,Boris Pasternak,Borís Pasternak,Boris Pasternak,Борис Пастернак,Boris Leonidovič Pasternak,Boris Pasternak,Борис Пастернак,m
3057,Фрыдрых Вільгельм Эрнст Паўлюс,Фридрих Паулус,Friedrich Paulus,Friedrich Paulus,Friedrich Paulus,Friedrich Paulus,Friedrich Paulus,Фридрих Паулюс,Friedrich Paulus,Friedrich Paulus,Фрідріх Паулюс,m
3058,Ман Рэй,Ман Рей,Man Ray,Man Ray,Man Ray,Man Ray,Man Ray,Ман Рэй,Man Ray,Man Ray,Ман Рей,m
3059,Ха Шы Мін,Хо Ши Мин,Ho Chi Minh,Ho Či Min,Ho Chi Minh,Ho Chi Minh,Hồ Chí Minh,Хо Ши Мин,Ho Ši Minh,Ho Chi Minh,Хо Ші Мін,m
3060,Карал Чапек,Карел Чапек,Karel Čapek,Karel Čapek,Karel Čapek,Karel Čapek,Karel Čapek,Карел Чапек,Karel Čapek,Karel Čapek,Карел Чапек,m
3061,Курт Штудэнт,Курт Щудент,Kurt Student,Kurt Student,Kurt Student,Kurt Student,Kurt Student,Курт Штудент,Kurt Student,Kurt Student,Курт Штудент,m
3062,Эган Шыле,Егон Шиле,Egon Schiele,Egon Schiele,Egon Schiele,Egon Schiele,Egon Schiele,Эгон Шиле,Egon Schiele,Egon Schiele,Еґон Шіле,m
3063,Дуайт Эйзенхаўэр,Дуайт Айзенхауер,Dwight David Eisenhower,Dwight D. Eisenhower,Dwight D. Eisenhower,Dwight D. Eisenhower,Dwight Eisenhower,Дуайт Дэвид Эйзенхауэр,Dwight David Eisenhower,Dwight D. Eisenhower,Дуайт Ейзенхауер,m
3064,Бхімраа Амбедкар,Бхимрао Рамджи Амбедкар,B. R. Ambedkar,Bhímráo Rámdží Ámbédkar,B. R. Ambedkar,B.R. Ambedkar,Bhimrao Ramji Ambedkar,Бхимрао Рамджи Амбедкар,Bhimrao Ramdži Ambedkar,Bhimrao Ramji Ambedkar,Бхімрао Рамджі Амбедкар,m
3065,Фрэдэрык Грант Бантынг,Фредерик Бантинг,Frederick Banting,Frederick Banting,Frederick Banting,Frederick Grant Banting,Frederick Banting,Фредерик Бантинг,Frederick Grant Banting,Frederick Banting,Фредерік Бантинг,m
3066,Вальтэр Ботэ,Валтер Боте,Walther Bothe,Walther Bothe,Walther Bothe,Walther Bothe,Walther Bothe,Вальтер Боте,Walther Wilhelm Georg Bothe,Walther Bothe,Вальтер Боте,m
3067,Міхаіл Булгакаў,Михаил Булгаков,Mikhaïl Bulgàkov,Michail Bulgakov,Mikhail Bulgakov,Mijaíl Bulgákov,Michaił Bułhakow,Михаил Булгаков,Mihail Afanasjevič Bulgakov,Mihail Bulgakov,Михайло Булгаков,m
3068,Антоніа Грамшы,Антонио Грамши,Antonio Gramsci,Antonio Gramsci,Antonio Gramsci,Antonio Gramsci,Antonio Gramsci,Антонио Грамши,Antonio Gramsci,Antonio Gramsci,Антоніо Ґрамші,m
3069,Карл Дзёніц,Карл Дьониц,Karl Dönitz,Karl Dönitz,Karl Dönitz,Karl Dönitz,Karl Dönitz,Карл Дёниц,Karl Dönitz,Karl Dönitz,Карл Деніц,m
3070,Нэлі Закс,Нели Закс,Nelly Sachs,Nelly Sachsová,Nelly Sachs,Nelly Sachs,Nelly Sachs,Нелли Закс,Nelly Sachs,Nelly Sachs,Неллі Закс,f
3071,Рудольф Карнап,Рудолф Карнап,Rudolf Carnap,Rudolf Carnap,Rudolf Carnap,Rudolf Carnap,Rudolf Carnap,Рудольф Карнап,Rudolf Carnap,Rudolf Carnap,Рудольф Карнап,m
3072,Джома Кеніята,Джомо Кениата,Jomo Kenyatta,Jomo Kenyatta,Jomo Kenyatta,Jomo Kenyatta,Jomo Kenyatta,Джомо Кениата,Jomo Kenyatta,Jomo Kenyatta,Джомо Кеніата,m
3073,Восіп Мандэльштам,Осип Манделщам,Óssip Mandelstam,Osip Mandelštam,Osip Mandelstam,Ósip Mandelshtam,Osip Mandelsztam,Осип Мандельштам,Osip Mandelštam,Osip Mandelştam,Осип Мандельштам,m
3074,Генры Мілер,Хенри Милър,Henry Miller,Henry Miller,Henry Miller,Henry Miller,Henry Miller,Генри Миллер,Henry Miller,Henry Miller,Генрі Міллер,m
3075,Вальтэр Модэль,Валтер Модел,Walter Model,Walter Model,Walter Model,Walter Model,Walther Model,Вальтер Модель,Walter Model,Walter Model,Вальтер Модель,m
3076,Сяргей Пракоф’еў,Сергей Прокофиев,Serguei Prokófiev,Sergej Prokofjev,Sergei Prokofiev,Serguéi Prokófiev,Siergiej Prokofjew,Сергей Прокофьев,Sergej Prokofjev,Sergey Prokofyev,Сергій Прокоф'єв,m
3077,Эрвін Ромель,Ервин Ромел,Erwin Rommel,Erwin Rommel,Erwin Rommel,Erwin Rommel,Erwin Rommel,Эрвин Роммель,Erwin Rommel,Erwin Rommel,Ервін Роммель,m
3078,Джэймс Чэдвік,Джеймс Чадуик,James Chadwick,James Chadwick,James Chadwick,James Chadwick,James Chadwick,Джеймс Чедвик,James Chadwick,James Chadwick,Джеймс Чедвік,m
3079,Генрых Ягода,Генрих Ягода,Guénrikh Iagoda,Genrich Jagoda,Genrikh Yagoda,Guénrij Yagoda,Gienrich Jagoda,Генрих Ягода,Genrih Grigorjevič Jagoda,Genrih Yagoda,Генріх Ягода,m
3080,Аляксандр Алехін,Александър Алехин,Aleksandr Alekhin,Alexandr Aljechin,Alexander Alekhine,Alexander Alekhine,Aleksandr Alechin,Александр Алехин,Aleksander Aleksandrovič Aljehin,Aleksandr Alehin,Олександр Алехін,m
3081,Іва Андрыч,Иво Андрич,Ivo Andrić,Ivo Andrić,Ivo Andrić,Ivo Andrić,Ivo Andrić,Иво Андрич,Ivo Andrić,Ivo Andrić,Іво Андрич,m
3082,Перл Бак,Пърл Бък,Pearl S. Buck,Pearl S. Bucková,Pearl S. Buck,Pearl S. Buck,Pearl S. Buck,Перл Бак,Pearl S. Buck,Pearl S. Buck,Перл Бак,m
3083,Стэфан Банах,Стефан Банах,Stefan Banach,Stefan Banach,Stefan Banach,Stefan Banach,Stefan Banach,Стефан Банах,Stefan Banach,Stefan Banach,Стефан Банах,m
3084,Іосіп Броз Ціта,Йосип Броз Тито,Josip Broz Tito,Josip Broz Tito,Josip Broz Tito,Josip Broz Tito,Josip Broz Tito,Иосип Броз Тито,Josip Broz - Tito,Josip Broz Tito,Йосип Броз Тіто,m
